,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count
Document,Britain and the world,Business Environment,Chapter,Foreword from the Prime Minister,Grand Challenges,Ideas,Infrastructure,Introduction,People,Places
adic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010233711524417982,0.0,0.0
adjudicator,0.0,0.0007243111333734022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010233711524417982,0.0,0.0
administration,0.0,0.0,0.0,0.0,0.0004077623289673424,0.0,0.0,0.0,0.0,0.0004546434780887289
administrations,0.0007753803129102878,0.0,0.0,0.0006473229472572275,9.036608663256459e-05,0.00015674574552350357,0.00020315641386295749,0.001109655381142723,0.0,0.0009068007049289806
administrative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004745641164455989,0.0
admired,0.0,0.0005062717560346336,0.0,0.0,0.0,0.0,0.0,0.0014306114777192004,0.0,0.0
adopt,0.0,0.00014411618934793253,0.0,0.0,0.0,0.0002013383282518469,0.00017396824223925482,0.0,0.0,0.00025883918979495907
adopter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004745641164455989,0.0
adopters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010233711524417982,0.0,0.0
adopting,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adoption,0.0,0.0005680903449162958,0.0,0.0,0.000915104741063544,0.0,0.0013715277816509618,0.0,0.0,0.0
adrian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014236923493367967,0.0
adult,0.0,0.0,0.0,0.0,0.0004077623289673424,0.0,0.0,0.0,0.0009951182475890974,0.0
adults,0.0,0.0,0.0,0.0,0.0004077623289673424,0.0,0.0,0.0,0.0029853547427672925,0.0
advance,0.0,0.00043234856804379764,0.0,0.0,0.0,0.0002013383282518469,0.00034793648447850963,0.0004072403252774023,0.0,0.0
advanced,0.0,0.0005048874638956577,0.0,0.0006473229472572275,0.0005421965197953875,0.00031349149104700714,0.0,0.00015852219730610328,0.0004410654706579543,0.0008060450710479828
advances,0.0,0.00010901968866938428,0.0,0.0,0.0003512273527032913,0.0001523065657130181,0.0,0.0003080654135821979,0.0001428580339158997,0.0
advantage,0.0007753803129102878,0.0002804930354975876,0.0,0.0,0.000632562606427952,0.00015674574552350357,0.00013543760924197168,0.00031704439461220657,0.00022053273532897716,0.0
advantages,0.0,0.0,0.0,0.0,0.0013928919156941805,0.0,0.00017396824223925482,0.0008144806505548046,0.0,0.0007765175693848771
advertised,0.0,0.0,0.0,0.0,0.0,0.0,0.00043717203208544633,0.0,0.0,0.0
advertising,0.0,0.0,0.0,0.0,0.0,0.0010119029193557663,0.0,0.0,0.0,0.0
advice,0.0,0.0006427500770883809,0.0,0.0009270882463992572,0.00012942123733620237,0.0001122446986961087,9.698606868539789e-05,0.0,0.00042112582338498823,0.0
advise,0.0,0.0,0.0,0.0,0.0008155246579346848,0.0,0.0003055701371623505,0.0,0.0,0.0
advised,0.0,0.0,0.0,0.0,0.0,0.0,0.00043717203208544633,0.0,0.0,0.0
advisers,0.0,0.0,0.0,0.0,0.0005833760053189881,0.0,0.0,0.0,0.0,0.0
advisors,0.0,0.0,0.0,0.0,0.0005833760053189881,0.0,0.0,0.0,0.0,0.0
advisory,0.0,0.0,0.0,0.0,0.000610069827375696,0.0,0.0,0.0,0.0017369764283350275,0.00034010531195647915
aerial,0.0,0.0,0.0,0.0,0.0005833760053189881,0.0,0.0,0.0,0.0,0.0
aerospace,0.0,0.0011529295147834602,0.0,0.0,0.00023214865261569678,0.0002013383282518469,0.0,0.0004072403252774023,0.0,0.0
affect,0.0,0.0,0.0,0.0,0.0004077623289673424,0.0,0.0003055701371623505,0.0,0.0,0.0
affected,0.0,0.0,0.0,0.0,0.0,0.0,0.0003055701371623505,0.0,0.0006634121650593983,0.0
affecting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010233711524417982,0.0,0.0
affects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006504477663824989
affordability,0.0,0.0,0.0,0.0,0.0,0.0005059514596778831,0.0,0.0,0.0,0.0
affordable,0.0,0.00010901968866938428,0.0,0.0,0.00017561367635164564,0.0003046131314260362,0.0003948056847692872,0.0,0.0,0.00019580428829376985
affordably,0.0,0.0,0.0,0.0,0.0,0.0,0.00043717203208544633,0.0,0.0,0.0
africa,0.0,0.0,0.0,0.0,0.0,0.0010119029193557663,0.0,0.0,0.0,0.0
age,0.0,0.0,0.0,0.0,0.0008780683817582282,0.0003046131314260362,0.00013160189492309574,0.0,0.0010000062374112978,0.00019580428829376985
aged,0.0,0.0,0.0,0.0,0.000610069827375696,0.00026455126440912683,0.0,0.0,0.0014888369385728805,0.0
