,Count,Count,Count,Count,Count,Count,Count,Count,Count
Document,Britain and the world,Business Environment,Foreword from the Prime Minister,Grand Challenges,Ideas,Infrastructure,Introduction,People,Places
Word,,,,,,,,,
adapts industrial,0,0,0,0,0,0,0,0,1
adapts want,0,0,0,0,0,0,0,1,0
add bn,0,1,0,2,0,0,0,0,0
added per,0,1,0,0,0,0,0,0,0
added time,0,0,0,0,0,0,1,0,0
added uk,0,1,0,0,0,0,0,0,0
adding bn,0,0,0,0,0,1,0,0,0
adding millions,0,2,0,0,0,0,0,0,0
addition becoming,0,0,0,0,0,1,0,0,0
addition benefits,0,0,0,0,0,0,0,0,1
addition faraday,0,0,0,0,0,1,0,0,0
addition fund,0,0,0,0,0,1,0,0,0
addition greater,0,0,0,0,0,0,0,0,1
addition innovate,0,0,0,0,1,0,0,0,0
addition larger,0,0,0,0,0,1,0,0,0
addition provide,0,0,0,0,0,1,0,0,0
addition provided,0,0,0,0,0,1,0,0,0
additional action,0,0,0,0,0,0,0,1,0
additional benefits,0,0,0,0,0,0,0,0,1
additional bn,0,0,0,0,1,0,0,0,1
additional financial,0,0,0,0,0,0,0,0,1
additional five,0,1,0,0,2,0,0,0,0
additional government,0,0,0,0,0,1,0,0,0
additional homes,0,0,0,0,0,0,0,0,1
additional income,0,0,0,0,1,0,0,0,0
additional investment,0,0,0,0,0,0,0,0,1
additional investments,0,0,0,0,0,1,0,0,0
additional jobs,0,0,0,0,0,0,1,0,0
additional maths,0,0,0,1,0,0,0,0,0
additional measures,0,0,0,1,0,1,0,0,0
additional million,0,0,0,0,0,0,0,1,0
additional phds,0,1,0,1,0,0,0,0,0
additional pilots,0,0,0,0,0,0,0,0,1
additional policy,0,0,0,0,0,1,0,0,0
additional public,0,0,0,0,0,2,0,0,0
additional put,0,0,0,0,0,0,0,1,0
additional student,0,0,0,0,0,0,0,1,0
additional supply,0,1,0,0,0,0,0,0,0
additional support,0,1,0,0,0,0,0,0,0
additive manufacturing,0,1,0,0,0,0,0,0,0
address access,0,1,0,0,0,0,0,0,0
address aspects,1,0,0,0,0,0,0,0,0
